congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
119,House,1,2025-01-03,1,2,218,216,-0.137,0.991,-0.62,-0.705,-5.461,,Johnson (LA),,Election of the Speaker,
119,House,2,2025-01-03,1,3,216,210,0.025,0.126,-0.713,0.141,-0.27,HRES5,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",On Ordering the Previous Question,
119,House,3,2025-01-03,1,4,209,214,0.025,0.126,0.713,-0.141,-0.27,HRES5,Failed,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",On Motion to Commit with Instructions,
119,House,4,2025-01-03,1,5,215,209,0.189,-0.785,-0.653,-0.657,-5.179,HRES5,Passed,"Adopting the Rules of the House of Representatives for the One Hundred Nineteenth Congress, and for other purposes",On Agreeing to the Resolution,
119,House,5,2025-01-07,1,6,264,159,-0.377,0.511,-0.663,-0.979,-56.121,HR29,Passed,Laken Riley Act,On Passage,
119,House,6,2025-01-09,1,7,243,140,0.258,-0.676,-0.433,-1.568,-75.132,HR23,Passed,Illegitimate Court Counteraction Act,On Passage,
119,House,7,2025-01-13,1,8,407,0,0.0,0.0,0.0,0.0,0.0,HR192,Passed,Amtrak Executive Bonus Disclosure Act,On Motion to Suspend the Rules and Pass,
119,House,8,2025-01-13,1,9,405,5,0.0,0.0,0.0,0.0,0.0,HR152,Passed,Federal Disaster Assistance Coordination Act,On Motion to Suspend the Rules and Pass,
119,House,9,2025-01-14,1,10,426,0,0.0,0.0,0.0,0.0,0.0,HR153,Passed,Post-Disaster Assistance Online Accountability Act,On Motion to Suspend the Rules and Pass,
119,House,10,2025-01-14,1,11,208,218,0.132,0.991,0.651,-0.428,-5.997,HR28,Failed,Protection of Women and Girls in Sports Act,On Motion to Recommit,
119,House,11,2025-01-14,1,12,218,206,0.13,-0.302,-0.604,-0.93,-6.708,HR28,Passed,Protection of Women and Girls in Sports Act,On Passage,
119,House,12,2025-01-15,1,13,419,2,0.0,0.0,0.0,0.0,0.0,HR164,Passed,POWER Act,On Motion to Suspend the Rules and Pass,
119,House,13,2025-01-15,1,14,423,0,0.0,0.0,0.0,0.0,0.0,HR144,Passed,Tennessee Valley Authority Salary Transparency Act,On Motion to Suspend the Rules and Pass,
119,House,14,2025-01-15,1,15,423,1,0.0,0.0,0.0,0.0,0.0,HR33,Passed,To amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States,On Passage,
119,House,15,2025-01-16,1,16,206,213,0.036,0.087,0.715,-0.026,-0.293,HR30,Failed,Preventing Violence Against Women by Illegal Aliens Act,On Motion to Recommit,
119,House,16,2025-01-16,1,17,274,145,-0.393,0.561,-0.909,-1.005,-69.121,HR30,Passed,Preventing Violence Against Women by Illegal Aliens Act,On Passage,
119,House,17,2025-01-21,1,18,414,0,0.0,0.0,0.0,0.0,0.0,HR186,Passed,Hershel “Woody” Williams National Medal of Honor Monument Location Act,On Motion to Suspend the Rules and Pass,
119,House,18,2025-01-21,1,19,413,0,0.0,0.0,0.0,0.0,0.0,HR187,Passed,MAPWaters Act,"On Motion to Suspend the Rules and Pass, as Amended",
119,House,19,2025-01-22,1,20,214,204,0.05,0.143,-0.716,-0.037,-0.19,HRES53,Passed,Providing for consideration of the bill (H.R. 471) the Fix Our Forests Act; and providing for consideration of the bill (S. 5) the Laken Riley Act,On Ordering the Previous Question,
119,House,20,2025-01-22,1,21,213,204,0.05,0.143,-0.716,-0.037,-0.19,HRES53,Passed,Providing for consideration of the bill (H.R. 471) the Fix Our Forests Act; and providing for consideration of the bill (S. 5) the Laken Riley Act,On Agreeing to the Resolution,
119,House,21,2025-01-22,1,22,416,0,0.0,0.0,0.0,0.0,0.0,HR165,Passed,Wounded Knee Massacre Memorial and Sacred Site Act,On Motion to Suspend the Rules and Pass,
119,House,22,2025-01-22,1,23,263,156,-0.284,0.147,-0.606,-0.939,-49.614,S5,Passed,Laken Riley Act,On Passage,
119,House,23,2025-01-23,1,24,359,62,0.564,-0.239,0.502,-1.249,-44.101,HR375,Passed,Continued Rapid Ohia Death Response Act,On Motion to Suspend the Rules and Pass,
119,House,24,2025-01-23,1,25,279,141,0.056,-0.998,-0.264,-0.497,-95.555,HR471,Passed,Fix Our Forests Act,On Passage,
119,House,25,2025-01-23,1,26,205,216,0.031,0.068,0.716,0.018,-0.243,HR21,Failed,Born-Alive Abortion Survivors Protection Act,On Motion to Recommit,
119,House,26,2025-01-23,1,27,217,204,0.063,-0.16,-0.655,-0.707,-3.977,HR21,Passed,Born-Alive Abortion Survivors Protection Act,On Passage,
119,House,27,2025-02-04,1,28,412,1,0.0,0.0,0.0,0.0,0.0,HR43,Passed,Alaska Native Village Municipal Lands Restoration Act,On Motion to Suspend the Rules and Pass,
119,House,28,2025-02-04,1,29,361,56,0.731,0.449,0.841,-0.76,-46.57,HR776,Passed,Nutria Eradication and Control Reauthorization Act,On Motion to Suspend the Rules and Pass,
119,House,29,2025-02-05,1,30,212,208,0.036,0.088,-0.715,0.044,-0.29,HRES93,Passed,"Providing for consideration of the bill (H.R. 27) to amend the Controlled Substances Act with respect to the scheduling of fentanyl-related substances, and for other purposes",On Ordering the Previous Question,
119,House,30,2025-02-05,1,31,215,208,0.036,0.093,-0.715,0.039,-0.292,HRES93,Passed,"Providing for consideration of the bill (H.R. 27) to amend the Controlled Substances Act with respect to the scheduling of fentanyl-related substances, and for other purposes",On Agreeing to the Resolution,
119,House,31,2025-02-06,1,32,182,226,-0.273,0.962,0.634,0.34,-41.905,HR27,Failed,,On Agreeing to the Amendment,
119,House,32,2025-02-06,1,33,312,108,-0.478,0.583,-0.413,-0.409,-82.123,HR27,Passed,HALT Fentanyl Act,On Passage,
119,House,33,2025-02-07,1,34,205,207,-0.127,0.992,0.533,0.62,-7.87,HR26,Failed,Protecting American Energy Production Act,On Motion to Recommit,
119,House,34,2025-02-07,1,35,226,188,0.303,-0.71,-0.478,-1.161,-33.91,HR26,Passed,Protecting American Energy Production Act,On Passage,
119,House,35,2025-02-10,1,36,388,7,0.0,0.0,0.0,0.0,0.0,HR692,Passed,China Exchange Rate Transparency Act,"On Motion to Suspend the Rules and Pass, as Amended",
119,House,36,2025-02-10,1,37,408,0,0.0,0.0,0.0,0.0,0.0,HR736,Passed,Protect Small Businesses from Excessive Paperwork Act,On Motion to Suspend the Rules and Pass,
119,House,37,2025-02-11,1,38,210,184,0.037,0.102,-0.715,0.053,-0.283,HRES122,Passed,Providing for consideration of the bill (H.R. 77) the Midnight Rules Relief Act,On Ordering the Previous Question,
119,House,38,2025-02-11,1,39,216,205,0.038,0.1,-0.715,0.034,-0.297,HRES122,Passed,Providing for consideration of the bill (H.R. 77) the Midnight Rules Relief Act,On Agreeing to the Resolution,
119,House,39,2025-02-12,1,40,205,213,0.037,0.095,0.715,-0.032,-0.285,HR77,Failed,Midnight Rules Relief Act,On Motion to Recommit,
119,House,40,2025-02-12,1,41,212,208,0.136,-0.171,-0.614,-0.91,-5.03,HR77,Passed,Midnight Rules Relief Act,On Passage,
119,House,41,2025-02-13,1,42,264,155,-0.308,0.237,-0.651,-0.689,-49.879,HR35,Passed,Agent Raul Gonzalez Officer Safety Act,On Passage,
119,House,42,2025-02-24,1,43,405,0,0.0,0.0,0.0,0.0,0.0,HR825,Passed,Assisting Small Businesses Not Fraudsters Act,On Motion to Suspend the Rules and Pass,
119,House,43,2025-02-24,1,44,396,15,0.581,-0.649,0.358,-1.516,-17.138,HR832,Passed,Small Business Advocacy Improvements Act,On Motion to Suspend the Rules and Pass,
119,House,44,2025-02-24,1,45,384,25,0.695,-0.486,0.367,-0.49,-36.278,HR818,Passed,SPUR Act,On Motion to Suspend the Rules and Pass,
119,House,45,2025-02-25,1,46,216,210,0.037,0.104,-0.715,0.049,-0.292,HRES161,Passed,Providing for consideration of the joint resolution (H.J. Res. 20); providing for consideration of the joint resolution (H.J. Res. 35); and providing for consideration of the concurrent resolution (H. Con. Res. 14),On Ordering the Previous Question,
119,House,46,2025-02-25,1,47,217,211,0.037,0.104,-0.715,0.049,-0.292,HRES161,Passed,Providing for consideration of the joint resolution (H.J. Res. 20); providing for consideration of the joint resolution (H.J. Res. 35); and providing for consideration of the concurrent resolution (H. Con. Res. 14),On Agreeing to the Resolution,
119,House,47,2025-02-25,1,48,427,3,0.0,0.0,0.0,0.0,0.0,HR788,Passed,DOE and SBA Research Act,On Motion to Suspend the Rules and Pass,
119,House,48,2025-02-25,1,49,415,8,0.0,0.0,0.0,0.0,0.0,HR804,Passed,Rural Small Business Resilience Act,On Motion to Suspend the Rules and Pass,
119,House,49,2025-02-25,1,50,217,215,-0.122,0.993,-0.63,-0.689,-5.429,HCONRES14,Passed,Establishing the congressional budget for the United States Government for fiscal year 2025 and setting forth the appropriate budgetary levels for fiscal years 2026 through 2034,"On Agreeing to the Resolution, as Amended",
119,House,50,2025-02-26,1,51,424,0,0.0,0.0,0.0,0.0,0.0,HR695,Passed,Medal of Honor Act,"On Motion to Suspend the Rules and Pass, as Amended",
119,House,51,2025-02-26,1,52,220,206,0.01,0.083,-0.533,-1.156,-11.789,HJRES35,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to “Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions”",On Passage,
119,House,52,2025-02-27,1,53,221,198,-0.164,0.307,-0.612,-0.885,-17.043,HJRES20,Passed,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to “Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters”",On Passage,
119,House,53,2025-03-03,1,54,417,0,0.0,0.0,0.0,0.0,0.0,HR856,Passed,Safe and Smart Federal Purchasing Act,On Motion to Suspend the Rules and Pass,
119,House,54,2025-03-03,1,55,402,16,0.462,-0.887,0.633,-2.649,-38.704,HR758,Passed,Mail Traffic Deaths Reporting Act,On Motion to Suspend the Rules and Pass,
